SFM tag	Description (updated for USFM 3.0)
-------	----------------------------------
\Q\*\E	Terminates quotation start/end milestone attributes (USFM 3.0)

\Q\+add\E	Translator's added words begin (nested)
\Q\+add*\E	Translator's added words end   (nested)
\Q\+bd\E	Bold text style begin (nested)
\Q\+bd*\E	Bold text style end   (nested)
\Q\+bdit\E	Bold italic text style begin (nested)
\Q\+bdit*\E	Bold italic text style end   (nested)
\Q\+bk\E	Quoted book title begin (nested)
\Q\+bk*\E	Quoted book title end   (nested)
\Q\+dc\E	Deuterocanonical/LXX items in Protocanonical text begin (nested)
\Q\+dc*\E	Deuterocanonical/LXX items in Protocanonical text end   (nested)
\Q\+em\E	Emphasis text begin (nested)
\Q\+em*\E	Emphasis text end   (nested)
\Q\+ior\E	Introduction outline reference begin (nested)
\Q\+ior*\E	Introduction outline reference end   (nested)
\Q\+iqt\E	Introduction quoted text begin (nested)
\Q\+iqt*\E	Introduction quoted text end   (nested)
\Q\+it\E	Italics text style begin (nested)
\Q\+it*\E	Italics text style end   (nested)
\Q\+jmp\E	Link text begin (USFM 3.0) (nested)
\Q\+jmp*\E	Link text end   (USFM 3.0) (nested)
\Q\+k\E	Keyword / keyterm begin (nested)
\Q\+k*\E	Keyword / keyterm end   (nested)
\Q\+nd\E	Name of deity begin (nested)
\Q\+nd*\E	Name of deity end   (nested)
\Q\+ndx\E	Subject index entry begin (nested)
\Q\+ndx*\E	Subject index entry end   (nested)
\Q\+no\E	Normal text begin (nested)
\Q\+no*\E	Normal text end   (nested)
\Q\+ord\E	Ordinal number ending begin (nested)
\Q\+ord*\E	Ordinal number ending end   (nested)
\Q\+pn\E	Proper name begin (nested)
\Q\+pn*\E	Proper name end   (nested)
\Q\+png\E	Geographic proper name begin (USFM 3.0) (nested)
\Q\+png*\E	Geographic proper name end   (USFM 3.0) (nested)
\Q\+pro\E	Pronunciation information for CJK begin (deprecated in USFM 3.0) (nested)
\Q\+pro*\E	Pronunciation information for CJK end   (deprecated in USFM 3.0) (nested)
\Q\+qac\E	Acrostic letter mark begin (nested)
\Q\+qac*\E	Acrostic letter mark end   (nested)
\Q\+qs\E	Selah (in poetry) begin (nested)
\Q\+qs*\E	Selah (in poetry) end   (nested)
\Q\+qt\E	Quoted text begin (nested)
\Q\+qt*\E	Quoted text end   (nested)
\Q\+rb\E	Ruby annotated base text begin (optional if for single ideogram) (USFM 3.0) (nested)
\Q\+rb*\E	Ruby annotated base text end   (optional if for single ideogram) (USFM 3.0) (nested)
\Q\+rq\E	Inline quotation reference(s) begin (nested)
\Q\+rq*\E	Inline quotation reference(s) end   (nested)
\Q\+rt\E	Ruby annotated text begin (USFM 3.0) (nested)
\Q\+rt*\E	Ruby annotated text end   (USFM 3.0) (nested)
\Q\+sc\E	Small-cap text begin (nested)
\Q\+sc*\E	Small-cap text end   (nested)
\Q\+sig\E	Signature of the author of an epistle begin (nested)
\Q\+sig*\E	Signature of the author of an epistle end   (nested)
\Q\+sls\E	Secondary language or alternate text source begin (nested)
\Q\+sls*\E	Secondary language or alternate text source end   (nested)
\Q\+tl\E	Transliterated (or foreign) word[s] begin (nested)
\Q\+tl*\E	Transliterated (or foreign) word[s] end   (nested)
\Q\+w\E	Word list/glossary/dictionary entry begin (nested)
\Q\+w*\E	Word list/glossary/dictionary entry end   (nested) (excludes visible marker)
\Q\+wa\E	Aramaic word list entry begin (USFM 3.0) (nested)
\Q\+wa*\E	Aramaic word list entry end (excludes visible marker) (USFM 3.0) (nested)
\Q\+wg\E	Greek word list entry begin (nested)
\Q\+wg*\E	Greek word list entry end   (nested) (excludes visible marker)
\Q\+wh\E	Hebrew word list entry begin (nested)
\Q\+wh*\E	Hebrew word list entry end   (nested) (excludes visible marker)
\Q\+wj\E	Words of Jesus begin (nested)
\Q\+wj*\E	Words of Jesus end   (nested)
\Q\+xop\E	Published cross reference "origin" reference begin          (USFM 3.0) (nested)
\Q\+xop*\E	Published cross reference "origin" reference end (explicit) (USFM 3.0) (nested)
\Q\+xta\E	Cross reference "target" reference[s] added/extra text begin          (USFM 3.0) (nested)
\Q\+xta*\E	Cross reference "target" reference[s] added/extra text end (explicit) (USFM 3.0) (nested)

\Q\add\E	Translator's added words begin
\Q\add*\E	Translator's added words end
\Q\addpn\E	Translator's added words in a proper name begin (deprecated)
\Q\addpn*\E	Translator's added words in a proper name end   (deprecated)
\Q\b\E	Blank line in poetry (e.g. between stanzas)
\Q\bd\E	Bold text style begin
\Q\bd*\E	Bold text style end
\Q\bdit\E	Bold italic text style begin
\Q\bdit*\E	Bold italic text style end
\Q\bk\E	Quoted book title begin
\Q\bk*\E	Quoted book title end
\Q\c\E	Chapter
\Q\ca\E	Alternate (second) chapter number begin
\Q\ca*\E	Alternate (second) chapter number end
\Q\cat\E	Category begin
\Q\cat*\E	Category end
\Q\cd\E	Chapter description
\Q\cl\E	Chapter label
\Q\cls\E	Closure of an epistle/letter
\Q\cp\E	Published chapter character[s]
\Q\d\E	Descriptive title in Psalms
\Q\dc\E	Deuterocanonical/LXX items in Protocanonical text begin
\Q\dc*\E	Deuterocanonical/LXX items in Protocanonical text end
\Q\ef\E	Extended footnote begin (Study Bibles)
\Q\ef*\E	Extended footnote end   (Study Bibles)
\Q\em\E	Emphasis text begin
\Q\em*\E	Emphasis text end
\Q\esb\E	Sidebar content section begin (Study Bibles)
\Q\esbe\E	Sidebar content section end   (Study Bibles)
\Q\ex\E	Extended cross reference element begin (Study Bibles)
\Q\ex*\E	Extended cross reference element end   (Study Bibles)
\Q\f\E	Footnote element begin
\Q\f*\E	Footnote element end
\Q\fdc\E	Footnote element begin (Bibles with deuterocanonical books) (deprecated in USFM 3.0)
\Q\fdc*\E	Footnote element end   (Bibles with deuterocanonical books) (deprecated in USFM 3.0)
\Q\fe\E	Endnote element begin
\Q\fe*\E	Endnote element end
\Q\fig\E	Figure element begin
\Q\fig*\E	Figure element end
\Q\fk\E	Footnote keyword begin
\Q\fk*\E	Footnote keyword end (explicit)
\Q\fl\E	Footnote "label" text begin
\Q\fl*\E	Footnote "label" text end (explicit)
\Q\fm\E	Footnote reference mark begin
\Q\fm*\E	Footnote reference mark end
\Q\fp\E	Footnote additional paragraph (uncommon)
\Q\fq\E	Footnote translation quotation begin
\Q\fq*\E	Footnote translation quotation end (explicit)
\Q\fqa\E	Footnote alternate translation begin
\Q\fqa*\E	Footnote alternate translation end (explicit)
\Q\fr\E	Footnote "origin" reference begin
\Q\fr*\E	Footnote "origin" reference end (explicit)
\Q\ft\E	Footnote text begin
\Q\ft*\E	Footnote text end (explicit)
\Q\ftc\E	Critical footnote text begin
\Q\ftc*\E	Critical footnote text end (explicit)
\Q\fv\E	Footnote verse number begin
\Q\fv*\E	Footnote verse number end
\Q\h\E	Running header (h=h1)
\Q\h1\E	Running header (level 1) (deprecated in USFM 3.0)
\Q\h2\E	Running header (level 2) (deprecated in USFM 3.0)
\Q\h3\E	Running header (level 3) (deprecated in USFM 3.0)
\Q\h4\E	Running header (level 4) (deprecated in USFM 3.0)
\Q\ib\E	Introduction blank line (was introduction begin?)
\Q\id\E	Identification
\Q\ide\E	Character encoding specification (optional)
\Q\ie\E	Introduction end (optional)
\Q\iex\E	Introduction explanatory or bridge text
\Q\ili\E	Introduction list item (ili=ili1)
\Q\ili1\E	Introduction list item (level 1)
\Q\ili2\E	Introduction list item (level 2)
\Q\ili3\E	Introduction list item (level 3) unlikely!
\Q\im\E	Introduction flush left (margin) paragraph
\Q\imi\E	Introduction flush left (indented) paragraph
\Q\imq\E	Introduction flush left (margin) quote from text paragraph
\Q\imt\E	Introduction major title (imt=imt1)
\Q\imt1\E	Introduction major title (level 1)
\Q\imt2\E	Introduction major title (level 2)
\Q\imt3\E	Introduction major title (level 3)
\Q\imt4\E	Introduction major title (level 4)
\Q\imte\E	Introduction major title ending (imte=imte1)
\Q\imte1\E	Introduction major title ending (level 1)
\Q\imte2\E	Introduction major title ending (level 2)
\Q\imte3\E	Introduction major title ending (level 3) unlikely!
\Q\io\E	Introduction outline entry (io=io1)
\Q\io1\E	Introduction outline entry (level 1)
\Q\io2\E	Introduction outline entry (level 2)
\Q\io3\E	Introduction outline entry (level 3)
\Q\io4\E	Introduction outline entry (level 4)
\Q\ior\E	Introduction outline reference begin
\Q\ior*\E	Introduction outline reference end
\Q\iot\E	Introduction outline title
\Q\ip\E	Introduction paragraph
\Q\ipi\E	Introduction indented paragraph
\Q\ipq\E	Introduction quote from text paragraph
\Q\ipr\E	Introduction right-aligned paragraph
\Q\iq\E	Introduction poetic line (iq=iq1)
\Q\iq1\E	Introduction poetic line (level 1)
\Q\iq2\E	Introduction poetic line (level 2)
\Q\iq3\E	Introduction poetic line (level 3)
\Q\iq4\E	Introduction poetic line (level 4) unlikely!
\Q\iqt\E	Introduction quoted text begin
\Q\iqt*\E	Introduction quoted text end
\Q\is\E	Introduction section heading (is=is1)
\Q\is1\E	Introduction section heading (level 1)
\Q\is2\E	Introduction section heading (level 2)
